gene_name,highly_variable,highly_variable_rank,means,variances,variances_norm,highly_variable_nbatches,variances_norm_rank,isPresentInAll,isPredicted
TUBA3E,True,4875.5,0.0016431194373560715,0.001715128192723741,1.0112765899672382,18.0,3319.0,True,True
DUSP28,True,12690.0,0.3569303541420302,0.4165033363872262,0.935062720438704,18.0,13909.0,True,False
DPY30,True,10321.5,2.207804817327441,5.047338690710481,0.9569601021482791,18.0,10576.0,True,False
SLC30A6,True,11974.5,1.6011949959544407,2.8357493126246474,0.9339964014532183,18.0,12994.0,True,False
FBXO36,True,12335.5,0.22599116200908695,0.24582531000230323,0.9373929545260924,18.0,13488.0,True,False
SLC16A14,True,5886.0,0.04175017115827472,0.04421502633922308,1.0011233947435083,18.0,4773.0,True,True
SLC19A3,True,7537.5,0.016456090122611563,0.017305811348344503,1.0009888123000077,18.0,7043.0,True,False
CCL20,True,1744.5,0.027099022841849753,0.034680277681595505,1.1912382549064233,18.0,1118.0,True,True
DAW1,True,6222.0,0.002750980270118877,0.0027434465277504385,0.9934604806391258,18.0,5306.0,True,False
GLI2,True,8579.5,0.04697827845895313,0.049427440151068175,0.9836850711676465,18.0,8320.0,True,False
SP140,True,530.5,0.5341134001369267,1.1864996418319111,1.3355969766300901,18.0,291.0,True,True
DYTN,,,,,,,,False,False
LPIN1,True,9014.0,1.1822368830522187,2.218563149253312,0.9645125244290544,18.0,8861.0,True,False
CLHC1,True,10271.0,0.06255056949025954,0.06635650394990224,0.9586586299739169,18.0,10513.0,True,False
MTIF2,True,10716.5,0.7633659052716749,1.1845742258472693,0.9650636386900744,18.0,11109.0,True,False
MDH1,True,3110.0,3.196103815273542,9.320668465334489,1.0377839311762642,18.0,2138.0,True,True
NAT8,,,,,,,,False,False
TPRKB,True,10876.5,1.5321092923383333,2.710146688580343,0.9451212982484817,18.0,11344.0,True,False
SNX17,True,12927.5,3.9659301674239122,13.679684204300038,0.9737801406577652,18.0,14140.0,True,False
ZNF513,True,10904.0,0.514283936017925,0.8767316352157173,0.9659208569918065,18.0,11385.0,True,False
PPM1G,True,14218.5,5.496197174332483,20.721968135991716,0.9099975778930993,18.0,14959.0,True,False
NRBP1,,,,,,,,False,False
KRTCAP3,True,10811.5,0.15477687184913175,0.17730356232016203,0.9494039344800311,18.0,11257.0,True,False
FNDC4,True,9322.0,0.26918528661231095,0.32969686778958823,0.9767534408057976,18.0,9267.0,True,False
